,GDP,GDP Defl,Interest rates,Investment,Stock,Spread 1,Spread 2,Credit/Real Estate Ratio,US HOME MORTGAGES - FIXED 30YR - EFFECTIVE INTEREST RATE,CPI index,PCE index,employment,industrial production,1-year Treasury constant maturity rate,DJIA
DATE,ROUTPUT13Q3,P,TB3MS,GPDIC96,Real SP500,Baa-FedFud,Baa-10y,Credit/Real Estate Ratio,Mortgages rates,,,,IP,,
1985:Q1,8.964976774,3.990390465,8.52,7.023163051,1.300849936,5.11,2.04,-0.108844473,13.29,4.671,3.965,11.580,4.033,9.49,1.789
1985:Q2,8.973744239,3.996290622,6.95,7.040052035,1.299207803,4.87,2.15,-0.107615401,12.15,4.677,3.972,11.576,4.032,7.71,1.792
1985:Q3,8.988907856,4.002905214,7.10,7.033211026,1.312010705,4.56,2.17,-0.111214332,12.17,4.683,3.979,11.587,4.034,7.99,1.797
1985:Q4,8.996305213,4.00809653,7.10,7.069406332,1.308869738,3.31,2.58,-0.112572976,11.09,4.696,3.987,11.592,4.044,7.60,1.814
1986:Q1,9.005601412,4.013007962,6.56,7.069112784,1.334547066,3.02,3.11,-0.110039979,10.10,4.692,3.990,11.598,4.035,6.72,1.846
1986:Q2,9.010095142,4.016509139,6.21,7.051499715,1.359836526,3.42,2.99,-0.110318583,10.62,4.695,3.993,11.604,4.034,6.41,1.870
1986:Q3,9.019615607,4.021254021,5.21,7.024232574,1.358864703,4.31,2.75,-0.10432576,10.10,4.700,3.998,11.609,4.040,5.82,1.867
1986:Q4,9.024974185,4.027171463,5.53,7.027221342,1.364999307,3.06,2.74,-0.099859371,9.29,4.708,4.003,11.615,4.058,5.95,1.871
1987:Q1,9.032397216,4.032947767,5.59,7.053850169,1.391890091,3.48,2.1,-0.101834804,9.03,4.720,4.014,11.621,4.069,6.15,1.906
1987:Q2,9.043128093,4.039712367,5.67,7.054371071,1.402131931,3.79,2.14,-0.108642677,10.35,4.732,4.024,11.628,4.087,6.77,1.919
1987:Q3,9.051766591,4.047392707,6.40,7.05451615,1.424157506,4.09,1.68,-0.106631191,11.02,4.742,4.033,11.634,4.104,7.92,1.939
1987:Q4,9.068799849,4.054875818,5.77,7.120433055,1.363443828,4.52,2.46,-0.106859352,10.61,4.750,4.040,11.642,4.129,7.10,1.881
1988:Q1,9.073947747,4.062578659,5.70,7.071237145,1.365967009,3.99,2,-0.109387028,9.99,4.758,4.049,11.644,4.136,6.76,1.869
1988:Q2,9.086996906,4.072507868,6.46,7.094784073,1.366672369,3.49,2.18,-0.107557556,10.40,4.771,4.061,11.652,4.143,7.50,1.871
1988:Q3,9.092839796,4.084681357,7.24,7.100324152,1.372414419,2.71,2.03,-0.109423502,10.42,4.783,4.074,11.656,4.145,8.13,1.871
1988:Q4,9.106079252,4.093844437,8.07,7.115469203,1.375505185,1.89,1.51,-0.105478668,10.77,4.793,4.082,11.662,4.156,9.02,1.872
1989:Q1,9.116194514,4.103419923,8.82,7.14884719,1.387943103,0.82,1.37,-0.102960087,11.19,4.806,4.094,11.670,4.157,9.64,1.883
1989:Q2,9.123801611,4.114179869,8.15,7.139127284,1.394059209,0.5,1.93,-0.096015903,10.07,4.821,4.107,11.673,4.151,8.12,1.895
1989:Q3,9.13117811,4.121570548,7.75,7.130108118,1.418553897,0.89,1.6,-0.108967272,10.16,4.827,4.112,11.673,4.148,8.48,1.911
